label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,4,52,160,137,2,449,51,98,51,2,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,140,4,256,205,1636,3,4,130,19,633,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,100,27,23,2,212,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1412,38,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,146,677,28,31,28,63,25,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,218,149,14,2,1643,7,77,82,133,12,3,858,61,18,0,0,0,0,0,0,0,0,0,0,0
0,2,122,11,2,209,932,5,90,1495,1474,1464,113,402,1503,209,3,2,18,5,136,35,50,0,0,0
1,306,8,24,252,989,158,423,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,267,5,812,3,1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,19,594,155,2,362,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,106,41,46,3,1123,48,25,2,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,146,192,6,156,126,18,36,2,12,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,91,60,80,340,21,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,375,56,1337,35,165,1207,32,2,94,102,10,3,28,63,25,78,0,0,0,0,0,0,0,0,0
1,2,12,8,68,3,48,194,207,21,25,151,7,437,16,855,47,28,1004,10,31,129,0,0,0,0
0,228,16,64,28,27,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,15,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,86,5,2,362,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,957,669,31,109,26,19,200,34,1397,74,3,1452,3,2,12,5,124,0,0,0,0,0,0,0
0,408,59,762,7,107,165,11,2,638,802,193,867,0,0,0,0,0,0,0,0,0,0,0,0,0
1,32,2,59,223,54,426,497,42,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,180,5,17,3,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,23,152,23,493,23,262,73,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,483,56,232,3,41,82,15,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,42,144,137,9,15,28,146,38,328,26,9,1411,15,0,0,0,0,0,0,0,0,0,0,0
0,10,892,192,325,547,16,528,3,1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,8,44,755,1604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,23,253,61,3,302,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,319,417,195,3,17,12,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1051,1539,306,27,970,97,134,39,6,822,1423,810,7,2,1054,11,6,488,445,231,0,0,0,0
0,13,89,501,3,39,188,833,11,289,35,2,1563,0,0,0,0,0,0,0,0,0,0,0,0,0
1,44,158,290,70,79,44,1364,1318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,306,8,340,414,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,12,5,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,8,65,11,2,162,1548,31,4,29,80,7,0,0,0,0,0,0,0,0,0,0,0,0,0
0,593,985,11,1419,26,82,11,2,86,175,667,2,955,0,0,0,0,0,0,0,0,0,0,0,0
1,18,8,61,3,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,88,2,619,370,3,10,5,1026,3,191,32,2,234,26,6,67,648,32,2,229,0,0,0,0
1,65,11,2,179,286,14,288,31,4,52,628,38,30,7,81,0,0,0,0,0,0,0,0,0,0
1,4,45,25,30,154,148,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,680,1072,7,201,6,916,35,510,36,4,48,55,121,10,160,556,2,84,128,9,65,0,0,0
1,4,964,339,1542,3,4,29,80,30,181,451,276,0,0,0,0,0,0,0,0,0,0,0,0,0
1,38,7,15,16,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,5,21,1295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,411,35,1066,127,201,87,122,21,715,3,222,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,15,120,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,869,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,472,31,110,328,37,1545,2,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1523,58,75,66,1351,11,668,9,15,1389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,486,3,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37,42,130,7,201,56,77,6,17,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,360,5,285,117,125,486,3,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,71,147,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,19,1422,241,244,979,51,2,86,737,11,273,1327,4,29,49,150,0,0,0,0,0,0,0,0
1,23,12,16,2,196,58,8,24,402,117,3,297,103,0,0,0,0,0,0,0,0,0,0,0,0
0,19,331,22,2,1164,1581,275,58,5,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,115,5,24,1090,11,43,291,3,103,87,122,24,748,4,52,13,821,9,15,0,0,0,0,0
1,2,152,3,2,357,27,14,19,1070,2,50,614,35,1308,0,0,0,0,0,0,0,0,0,0,0
0,64,580,142,5,71,198,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,171,601,1436,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,170,5,284,78,438,82,1578,291,7,25,1024,35,403,620,0,0,0,0,0,0,0,0,0,0,0
0,51,89,51,237,39,7,38,30,4,249,121,1042,2,1619,18,3,45,60,283,0,0,0,0,0,0
1,9,393,6,356,303,70,9,8,6,1338,209,613,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,999,4,29,8,31,37,1521,1670,1657,16,6,281,31,8,66,1587,113,6,353,475,58,539,162,3
0,4,389,26,6,839,1652,3,239,277,2,947,11,2,161,0,0,0,0,0,0,0,0,0,0,0
1,4,88,2,731,289,3,10,5,2,106,41,237,22,42,158,289,276,92,1298,1320,495,444,684,0,0
0,2,522,11,2,12,5,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37,157,143,7,201,149,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,585,108,5,21,191,3,692,104,2,925,911,0,0,0,0,0,0,0,0,0,0,0,0,0
0,76,5,304,282,3,42,46,27,21,154,118,510,4,52,84,7,1428,35,242,6,716,14,57,0,0
1,14,609,75,92,7,930,59,7,439,99,48,164,170,5,21,147,0,0,0,0,0,0,0,0,0
1,21,20,110,7,788,3,22,6,206,1645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,331,1261,403,200,1496,357,3,43,300,42,62,13,308,54,382,310,0,0,0,0,0,0,0,0
0,37,29,571,1616,774,636,3,347,182,7,241,65,69,636,55,308,54,12,0,0,0,0,0,0,0
1,23,353,14,609,95,21,17,69,28,183,33,181,118,353,45,13,1131,56,1365,0,0,0,0,0,0
1,329,24,194,36,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,741,1020,8,74,11,9,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,212,33,62,13,122,39,6,185,358,36,90,11,6,1407,1219,1310,16,345,3,1582,0,0,0,0
1,2,431,8,48,142,620,3,24,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,237,369,107,1644,12,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37,53,140,905,1220,1099,250,26,396,3,82,194,1027,1080,172,31,5,74,11,9,447,0,0,0,0
0,56,278,825,111,1471,43,115,1255,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,5,414,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,69,4,1071,2,281,4,5,235,36,13,14,6,17,129,0,0,0,0,0,0,0,0,0,0,0
0,19,102,5,13,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,15,8,129,131,228,16,292,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,173,27,24,226,1331,27,221,32,2,172,8,400,103,3,2,884,8,13,1399,14,1137,0,0,0,0
1,17,457,23,12,23,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,285,18,2,335,103,119,122,39,4,5,827,181,41,76,109,7,2,169,0,0,0,0,0,0,0
1,40,14,40,4,146,677,28,236,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,237,84,7,38,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,19,106,336,7,1245,5,6,1438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37,22,6,779,806,26,6,1525,31,5,1360,3,4,388,2,793,487,728,26,332,764,0,0,0,0
1,4,53,22,7,134,19,1113,1104,1291,984,528,26,1035,427,3,37,34,73,1328,3,68,0,0,0,0
1,1322,99,16,2,12,2,583,14,2,1569,899,16,401,23,735,193,1177,87,14,7,107,0,0,0,0
0,471,2,1515,32,19,410,96,5,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1487,852,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,15,8,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,559,503,46,16,686,83,26,66,65,1620,7,192,43,102,0,0,0,0,0,0,0,0,0,0
1,79,240,2,50,1513,20,29,49,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,91,22,162,1609,104,2,1282,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,383,95,48,54,456,606,36,91,80,217,3,4,219,10,5,435,35,50,0,0,0,0,0,0,0
1,17,18,24,184,3,568,7,1565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,62,13,39,35,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,515,521,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,926,1294,975,152,8,6,15,20,901,900,251,242,43,142,269,7,57,0,0,0,0,0,0,0,0
0,338,20,199,29,574,2,673,32,1182,161,164,180,20,88,5,482,0,0,0,0,0,0,0,0,0
0,504,612,575,3,4,27,187,1401,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,95,167,1395,59,104,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
